idColaborador,Fecha,Sucursal,Puesto,Motivo,Ticket,AreaBuscada,Mes,Dia,CodigoAreaBuscada
2760,2023-09-04,OPERACIONES RETAIL,GERENTE REGIONAL UNIDAD DE NEGOCIO,Reposición de gafete,58402,Administración de Personal ,9,4,1
6485,2023-09-05,ESCOBEDO,COORDINADOR DE MOSTRADOR,Conocer prestaciones,0,Compensaciones y Beneficios ,9,5,2
10062,2023-09-05,ECATEPEC,ASESOR DE VENTAS MOTOPARTES,Constancia laboral,0,Relaciones Laborales,9,5,3
3911,2023-09-06,PELICANO,EJECUTIVO TELEMARKETING REFACCIONARIAS,Solicitar beneficio,56300,Compensaciones y Beneficios ,9,6,2
8515,2023-09-06,ESCOBEDO,GERENTE UNIDAD DE NEGOCIO,Reposición de uniforme y epp,59623,Uniformes y Epp,9,6,5
9166,2023-09-06,SALTILLO,CHOFER SUCURSAL,Nómina,59624,Otros,9,6,7
5709,2023-09-07,TOLUCA,COORDINADOR DE MOSTRADOR,Reposición de gafete,59832,Administración de Personal ,9,7,1
8387,2023-09-07,FRESNILLO,ASESOR DE VENTAS EMPRESAS,Duda sobre bono,59788,Compensaciones y Beneficios ,9,7,2
9374,2023-09-07,MONTERREY LINCOLN,COORDINADOR DE ALMACEN Y LOGISTICA,Reposición de uniforme y epp,60091,Uniformes y Epp,9,7,5
9545,2023-09-07,TOLUCA,EJECUTIVO DE LOGISTICA,Reposición de uniforme y epp,60092,Uniformes y Epp,9,7,5
8860,2023-09-08,SALTILLO,ASESOR MOSTRADOR,Reposición de uniforme y epp,0,Uniformes y Epp,9,8,5
3055,2023-09-11,SAN LUIS PEDRO MORENO,ASESOR MOSTRADOR,Sin respuesta,0,Otros,9,11,7
4657,2023-09-11,NOGALES,GERENTE UNIDAD DE NEGOCIO,Reposición de uniforme y epp,0,Uniformes y epp,9,11,5
5033,2023-09-11,VALLEJO,MOTOCICLISTA DE SUCURSAL,Reposición de uniforme y epp,0,Uniformes y epp,9,11,5
5473,2023-09-11,SAN JUAN DEL RIO,ASESOR MOSTRADOR,Conocer prestaciones,0,Compensaciones y Beneficios,9,11,2
6053,2023-09-11,REYNOSA,EJECUTIVO DE CREDITO Y COBRANZA SUCURSAL,Sin respuesta,0,Otros,9,11,7
7610,2023-09-11,CD VALLES SLP,COORDINADOR DE MOSTRADOR,Reposición de gafete,0,Administración de Personal ,9,11,1
7611,2023-09-11,CD VALLES SLP,ASESOR MOSTRADOR,Conocer prestaciones,0,Compensaciones y Beneficios,9,11,2
8341,2023-09-11,CD VALLES SLP,ASESOR MOSTRADOR,Duda sobre bono,0,Compensaciones y Beneficios ,9,11,2
8526,2023-09-11,TAMPICO NORTE,ASESOR MOSTRADOR,Sin respuesta,0,Otros,9,11,7
8791,2023-09-11,NOGALES,ASESOR MOSTRADOR,Sin respuesta,0,Otros,9,11,7
8825,2023-09-11,CHIHUAHUA CUAUHTEMOC,MOTOCICLISTA DE SUCURSAL,Reposición de uniforme y epp,78177,Uniformes y epp,9,11,5
9236,2023-09-11,TUXTLA PANAMERICANA,AYUDANTE MULTIFUNCIONAL,Conocer prestaciones,0,Compensaciones y Beneficios,9,11,2
9275,2023-09-11,CHIHUAHUA CANAL COLON,ASESOR DE VENTAS MOTOPARTES,Duda sobre bono,0,Compensaciones y Beneficios ,9,11,2
9442,2023-09-11,GOMEZ PALACIO,COORDINADOR DE ALMACEN Y LOGISTICA,Reposición de uniforme y epp,0,Uniformes y epp,9,11,5
9500,2023-09-11,TIJUANA,PROMOTOR DE VENTAS,Hablar con ch,0,Administración de personal ,9,11,1
9556,2023-09-11,LOS CABOS AUTEX,AYUDANTE MULTIFUNCIONAL,Duda sobre bono,0,Compensaciones y Beneficios ,9,11,2
9852,2023-09-11,DURANGO,ASESOR MOSTRADOR,Hablar con ch,0,Regionales de CH,9,11,4
9868,2023-09-11,TULTITLAN,ASESOR DE VENTAS MOTOPARTES,Reposición de uniforme y epp,78210,Uniformes y epp,9,11,5
10766,2023-09-11,LEON ALDAMA,EJECUTIVO DE CREDITO Y COBRANZA,Nómina,0,Otros,9,11,7
10982,2023-09-11,HERMOSILLO PERIFERICO,GERENTE UNIDAD DE NEGOCIO,Reposición de uniforme y epp,78277,Uniformes y epp,9,11,5
11164,2023-09-11,HERMOSILLO QUIROGA,COORDINADOR DE MOSTRADOR,Reposición de uniforme y epp,78192,Uniformes y epp,9,11,5
11167,2023-09-11,GOMEZ PALACIO,AYUDANTE MULTIFUNCIONAL,Reposición de uniforme y epp,0,Uniformes y EPP,9,11,5
1808,2023-10-04,OPERACIONES RETAIL,GERENTE REGIONAL UNIDAD DE NEGOCIO,Sin respuesta,0,Otros,10,4,7
9226,2023-10-04,MANZANILLO,GERENTE UNIDAD DE NEGOCIO,Conocer prestaciones,0,Compensaciones y Beneficios ,10,4,2
2760,2023-10-05,OPERACIONES RETAIL,GERENTE REGIONAL UNIDAD DE NEGOCIO,Sin respuesta,0,Otros,10,5,7
6842,2023-10-05,GUADALUPE,EJECUTIVO DE CREDITO Y COBRANZA,Hablar con ch,0,Compensaciones y Beneficios ,10,5,2
7483,2023-10-05,SAN LUIS,GERENTE UNIDAD DE NEGOCIO,Duda sobre bono,0,Compensaciones y Beneficios ,10,5,2
7824,2023-10-05,TORREON,PROMOTOR DE VENTAS,Reposición de uniforme y epp,0,Uniformes y Epp,10,5,5
9293,2023-10-05,VALLEJO,CHOFER SUCURSAL,Reposición de uniforme y epp,0,Uniformes y Epp,10,5,5
10184,2023-10-05,VALLEJO,EJECUTIVO DE CREDITO Y COBRANZA SUCURSAL,Hablar con ch,0,Compensaciones y Beneficios ,10,5,2
10284,2023-10-05,ESCOBEDO,CHOFER SUCURSAL,Duda sobre bono,0,Compensaciones y Beneficios ,10,5,2
10351,2023-10-05,MONTERREY RUIZ,AYUDANTE MULTIFUNCIONAL,Reposición de gafete,0,Administración de Personal ,10,5,1
10607,2023-10-05,CHETUMAL,ASESOR DE VENTAS MOTOPARTES,Sin respuesta,0,Otros,10,5,7
10918,2023-10-05,BELISARIO DOMINGUEZ,ASESOR MOSTRADOR,Duda sobre bono,0,Compensaciones y Beneficios ,10,5,2
7594,2023-10-06,COLONIA JALISCO,COORDINADOR DE MOSTRADOR,Duda sobre bono,0,Compensaciones y Beneficios ,10,6,2
9556,2023-10-06,LOS CABOS AUTEX,AYUDANTE MULTIFUNCIONAL,Duda sobre bono,0,Compensaciones y Beneficios ,10,6,2
10292,2023-10-06,TOLUCA,CHOFER SUCURSAL,Reposición de gafete,0,Administración de Personal ,10,6,1
10299,2023-10-06,NEZA,ASESOR MOSTRADOR,Reposición de gafete,0,Administración de Personal ,10,6,1
3312,2023-10-09,LOS MOCHIS,ASESOR DE VENTAS REFACCIONARIAS,Queja clima laboral,0,Regionales de CH,10,9,4
4892,2023-10-09,MONTERREY LINCOLN,COORDINADOR DE MOSTRADOR,Reposición de uniforme y epp,0,Uniformes y Epp,10,9,5
5271,2023-10-09,TAMPICO CENTRO,EJECUTIVO DE CREDITO Y COBRANZA SUCURSAL,Solicitar beneficio,Na,Compensaciones y Beneficios ,10,9,2
6400,2023-10-09,VALLEJO,COORDINADOR DE MOSTRADOR,Reposición de gafete,Na,Administración de Personal ,10,9,1
6409,2023-10-09,MONTERREY RUIZ,CHOFER SUCURSAL,Reposición de tarjeta nómina,Na,Administración de Personal ,10,9,1
7650,2023-10-09,TOLUCA,EJECUTIVO DE LOGISTICA,Reposición de uniforme y epp,0,Uniformes y Epp,10,9,5
8168,2023-10-09,FRESNILLO,ASESOR DE VENTAS REFACCIONARIAS,Reposición de uniforme y epp,0,Uniformes y Epp,10,9,5
9644,2023-10-09,CHIHUAHUA TECNOLOGICO,EJECUTIVO DE CREDITO Y COBRANZA SUCURSAL,Queja clima laboral,0,Regionales de CH,10,9,4
9971,2023-10-09,PUERTO VALLARTA,EJECUTIVO DE LOGISTICA,Sin respuesta,0,Uniformes y Epp,10,9,5
10903,2023-10-09,VALLEJO,ASESOR DE VENTAS EMPRESAS,Reposición de uniforme y epp,0,Uniformes y Epp,10,9,5
10993,2023-10-09,SANTA CATARINA,AYUDANTE MULTIFUNCIONAL,Reposición de uniforme y epp,0,Uniformes y Epp,10,9,5
11019,2023-10-09,TOLUCA,AYUDANTE MULTIFUNCIONAL,Reposición de uniforme y epp,0,Uniformes y Epp,10,9,5
7174,2023-10-11,FRESNILLO,ASESOR MOSTRADOR,Sin respuesta,0,Otros,10,11,7
8791,2023-10-11,NOGALES,ASESOR MOSTRADOR,Sin respuesta,0,Otros,10,11,7
10051,2023-10-11,REYNOSA,COORDINADOR DE ALMACEN Y LOGISTICA,Nómina,0,Otros,10,11,7
10106,2023-10-11,NOGALES,EJECUTIVO DE CREDITO Y COBRANZA SUCURSAL,Duda sobre bono,0,Compensaciones y Beneficios ,10,11,2
10152,2023-10-11,ENSENADA BCS,COORDINADOR DE ALMACEN Y LOGISTICA,Nómina,0,Otros,10,11,7
10910,2023-10-11,SANTA CATARINA,EJECUTIVO DE LOGISTICA,Nómina,0,Otros,10,11,7
11058,2023-10-11,PUEBLA CAPU,ASESOR DE VENTAS EMPRESAS,Nómina,0,Otros,10,11,7
11149,2023-10-11,LOS CABOS AUTEX,CHOFER SUCURSAL,Duda sobre bono,0,Compensaciones y Beneficios ,10,11,2
7541,2023-10-13,MONCLOVA,MOTOCICLISTA DE SUCURSAL,Pulso apymsa,Na,Administración de Personal ,10,13,1
7607,2023-10-13,MONCLOVA,MOTOCICLISTA DE SUCURSAL,Pulso apymsa,Na,Administración de Personal ,10,13,1
7775,2023-10-13,VALLEJO,ASESOR DE VENTAS REFACCIONARIAS,Reposición de gafete,Na,Administración de Personal ,10,13,1
8275,2023-10-13,SAN LUIS,COORDINADOR DE MOSTRADOR,Pulso apymsa,Na,Administración de Personal ,10,13,1
10261,2023-10-13,ESCOBEDO,ASESOR MOSTRADOR,Pulso apymsa,Na,Administración de Personal ,10,13,1
10329,2023-10-13,VERACRUZ TEJERIAS,ASESOR MOSTRADOR,Hablar con ch,Na,Administración de Personal ,10,13,1
8465,2023-10-16,MANZANILLO,ASESOR MOSTRADOR,Reposición de gafete,Na,Administración de Personal ,10,16,1
9291,2023-10-16,SANTA CATARINA,COORDINADOR DE MOSTRADOR,Duda sobre bono,Na,Compensaciones y Beneficios ,10,16,2
7414,2023-10-17,ESCOBEDO,MOTOCICLISTA DE SUCURSAL,Constancia laboral,Na,Relaciones Laborales,10,17,3
10174,2023-10-18,MONCLOVA,ASESOR MOSTRADOR,Conocer prestaciones,Na,Compensaciones y Beneficios ,10,18,2
673,2023-10-19,GUADALUPE,ASESOR DE VENTAS REFACCIONARIAS,Sin respuesta,0,Administración de Personal ,10,19,1
6764,2023-10-19,PUEBLA REFORMA,ASESOR DE VENTAS EMPRESAS,Duda sobre bono,Na,Compensaciones y Beneficios ,10,19,2
9099,2023-10-19,OPERACIONES RETAIL,GERENTE REGIONAL UNIDAD DE NEGOCIO,Hablar con ch,Na,Administración de Personal ,10,19,1
10222,2023-10-19,HERMOSILLO PERIFERICO,ASESOR MOSTRADOR,Sin respuesta,0,Uniformes y Epp,10,19,5
7616,2023-10-20,MAZATLAN,EJECUTIVO DE LOGISTICA,Hablar con ch,Na,Compensaciones y Beneficios ,10,20,2
10078,2023-10-20,MONTERREY LINCOLN,ASESOR MOSTRADOR,Reposición de uniforme y epp,0,Uniformes y Epp,10,20,5
10453,2023-10-20,CHIHUAHUA CANAL COLON,MOTOCICLISTA DE SUCURSAL,Hablar con ch,Na,Compensaciones y Beneficios ,10,20,2
5309,2023-10-23,VILLAHERMOSA UNIVERSIDAD,PROMOTOR DE VENTAS,Hablar con ch,0,Administración de Personal ,10,23,1
5788,2023-10-23,NUEVO LAREDO,CHOFER SUCURSAL,Hablar con ch,0,Administración de Personal ,10,23,1
7119,2023-10-23,MONTERREY LINCOLN,MOTOCICLISTA DE SUCURSAL,Reposición de tarjeta nómina,Na,Administración de Personal ,10,23,1
10993,2023-10-23,SANTA CATARINA,AYUDANTE MULTIFUNCIONAL,Reposición de uniforme y epp,0,Uniformes y Epp,10,23,5
5419,2023-10-24,TIJUANA,EJECUTIVO DE CREDITO Y COBRANZA SUCURSAL,Reposición de gafete,Na,Administración de Personal ,10,24,1
9374,2023-10-24,MONTERREY LINCOLN,COORDINADOR DE ALMACEN Y LOGISTICA,Duda sobre bono,0,Compensaciones y Beneficios ,10,24,2
10339,2023-10-24,NEZA,AYUDANTE MULTIFUNCIONAL,Reposición de gafete,Na,Administración de Personal ,10,24,1
10500,2023-10-24,CD JUAREZ OSCAR FLORES,MOTOCICLISTA DE SUCURSAL,Reposición de uniforme y epp,0,Uniformes y Epp,10,24,5
10729,2023-10-24,TIJUANA CENTRO,AYUDANTE MULTIFUNCIONAL,Conocer prestaciones,0,Compensaciones y Beneficios ,10,24,2
7097,2023-10-25,CANCUN TALLERES,COORDINADOR DE MOSTRADOR,Pulso apymsa,0,Administración de Personal ,10,25,1
8917,2023-10-25,TIJUANA,EJECUTIVO DE LOGISTICA,Conocer prestaciones,0,Compensaciones y Beneficios ,10,25,2
9475,2023-10-25,TORREON,ASESOR DE VENTAS REFACCIONARIAS,Hablar con ch,0,Administración de Personal ,10,25,1
10924,2023-10-25,ECATEPEC,EJECUTIVO DE LOGISTICA,Pulso apymsa,0,Administración de Personal ,10,25,1
6198,2023-10-26,MEXICALI,PROMOTOR DE VENTAS,Conocer prestaciones,0,Compensaciones y Beneficios ,10,26,2
7353,2023-10-26,MONTERREY RUIZ,EJECUTIVO TELEMARKETING REFACCIONARIAS,Cuenta workplace,0,Administración de Personal ,10,26,1
